id	biome	feature	material	environment_package	location	seq_counts	rel_seq_count
4441696.3	Small lake biome	animal-associated habitat	bodily fluid	host-associated	San Diego University, San Diego, California	111672	5
4441778.3	unknown	unknown	unknown	unknown	unknown	180763	0
4441834.3	freshwater biome	sediment	sediment	sediment	RIFRC site, Rifle, CO	1030451	26
4441835.3	freshwater biome	sediment	sediment	sediment	RIFRC site, Rifle, CO	803748	5
4441908.3	unknown	unknown	unknown	unknown	unknown	307099	0
4441909.3	unknown	unknown	unknown	unknown	unknown	8027	0
4442086.3	freshwater biome	sediment	sediment	sediment	RIFRC site, Rifle, CO	1391612	18
4442145.3	marine habitat	marine habitat	marine habitat	unknown	Iquique, Chile	911208	3
4442219.3	marine habitat	marine habitat	marine habitat	unknown	Iquique, Chile	2091761	0
4442315.3	unknown	unknown	unknown	unknown	unknown	67480	38
4442410.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Amherst, Massachusetts	16288	0
4442415.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Amherst, Massachusetts	19253	0
4442416.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Amherst, Massachusetts	51670	1
4442450.3	marine habitat	marine habitat	marine habitat	unknown	Chesapeake Bay	11282	0
4442451.3	extreme habitat ; hypersaline	extreme habitat ; hypersaline	extreme habitat ; hypersaline	water	crystallizer pond CR30 in the multi-pond saltern "Bras del Port" located in Santa Pola	5894	1
4442464.3	marine habitat	marine habitat	marine habitat	water	Ionian Km3 station	15982	0
4442466.3	Tropical/Subtropical Desert Division (320)	alkaline salt lake	surface water	microbial mat|biofilm	Cuatro Cienegas	1171781	97
