id	biome	feature	material	environment_package	location	seq_counts	rel_seq_count	arg_percent
4461183.3	feces	feces	feces	plant-associated	unknown	72215	129	0.00178633247940179
4461184.3	feces	feces	feces	plant-associated	unknown	93148	159	0.00170696096534547
4461199.3	feces	feces	feces	plant-associated	unknown	224659	655	0.00291552975843389
4461200.3	feces	feces	feces	plant-associated	unknown	144110	413	0.00286586635209215
4461201.3	feces	feces	feces	plant-associated	unknown	57905	123	0.00212416889733184
4461202.3	feces	feces	feces	plant-associated	unknown	92151	298	0.00323382274744712
4461203.3	feces	feces	feces	plant-associated	unknown	71435	145	0.00202981731644152
4461204.3	feces	feces	feces	plant-associated	unknown	133407	240	0.00179900604915784
4461205.3	feces	feces	feces	plant-associated	unknown	199009	408	0.00205015853554362
4461206.3	feces	feces	feces	plant-associated	unknown	176845	505	0.00285560801832113
4461207.3	feces	feces	feces	plant-associated	unknown	174966	289	0.00165174948275665
4461209.3	feces	feces	feces	plant-associated	unknown	142916	224	0.00156735425004898
4461210.3	feces	feces	feces	plant-associated	unknown	169453	333	0.00196514667783987
4461211.3	feces	feces	feces	plant-associated	unknown	145475	246	0.00169101220140918
4461212.3	feces	feces	feces	plant-associated	unknown	166583	339	0.00203502158083358
4461213.3	feces	feces	feces	plant-associated	unknown	196750	382	0.0019415501905972
4461214.3	feces	feces	feces	plant-associated	unknown	171733	362	0.00210792334612451
4461219.3	feces	feces	feces	plant-associated	unknown	220391	446	0.00202367610292616
4461220.3	feces	feces	feces	plant-associated	unknown	222856	335	0.00150321283698891
4461226.3	feces	feces	feces	plant-associated	unknown	333219	537	0.00161155276259757
4461347.3	feces	feces	feces	host-associated	St Louis Zoo	68884	375	0.00544393473085187
4461366.3	feces	feces	feces	host-associated	St Louis Zoo	14236	49	0.00344197808373139
4461367.3	feces	feces	feces	host-associated	St Louis Zoo	75012	492	0.00655895056790913
4461371.3	feces	feces	feces	host-associated	St Louis Zoo	56380	487	0.00863781482795318
4461376.3	feces	feces	feces	host-associated	St Louis Zoo	38999	59	0.00151285930408472
4464065.3	freshwater biome	Wastewater treatment plant	Activated sludge	wastewater|sludge	Morges	71225	507	0.00711828711828712
4464108.3	freshwater biome	Wastewater treatment plant	Activated sludge	wastewater|sludge	Visp	14592	183	0.0125411184210526
4464109.3	freshwater biome	Wastewater treatment plant	Activated sludge	wastewater|sludge	Visp	437239	1338	0.00306011128924913
